id,key,value,type
215368617,created_by,JOSM,regular
215390994,created_by,JOSM,regular
215391462,created_by,JOSM,regular
215391834,created_by,JOSM,regular
215392280,created_by,JOSM,regular
215662400,created_by,JOSM,regular
215662901,created_by,JOSM,regular
215696686,created_by,JOSM,regular
215696991,created_by,JOSM,regular
215697318,created_by,JOSM,regular
215704017,created_by,JOSM,regular
217495097,created_by,JOSM,regular
217495507,created_by,JOSM,regular
217495872,created_by,JOSM,regular
217764998,created_by,JOSM,regular
217765447,created_by,JOSM,regular
217765840,created_by,JOSM,regular
217766150,created_by,JOSM,regular
217766535,created_by,JOSM,regular
217767034,created_by,JOSM,regular
217767372,created_by,JOSM,regular
217837724,created_by,JOSM,regular
217838067,created_by,JOSM,regular
217850555,created_by,JOSM,regular
217851620,created_by,JOSM,regular
217890452,created_by,JOSM,regular
217890902,created_by,JOSM,regular
217891340,created_by,JOSM,regular
217905853,created_by,JOSM,regular
217906837,created_by,JOSM,regular
217907325,created_by,JOSM,regular
217907756,created_by,JOSM,regular
217921207,created_by,JOSM,regular
217921636,created_by,JOSM,regular
218075345,created_by,JOSM,regular
218075741,created_by,JOSM,regular
218076066,created_by,JOSM,regular
218076404,created_by,JOSM,regular
218076695,created_by,JOSM,regular
218082163,created_by,JOSM,regular
218226247,created_by,JOSM,regular
218226810,created_by,JOSM,regular
218227679,created_by,JOSM,regular
218227948,created_by,JOSM,regular
218228207,created_by,JOSM,regular
218242163,created_by,JOSM,regular
218364262,created_by,JOSM,regular
218376840,created_by,JOSM,regular
219414443,created_by,JOSM,regular
219438544,created_by,JOSM,regular
219438982,created_by,JOSM,regular
219439387,created_by,JOSM,regular
219451044,created_by,JOSM,regular
219451483,created_by,JOSM,regular
219510795,created_by,JOSM,regular
219529306,created_by,JOSM,regular
219563313,created_by,JOSM,regular
219563813,created_by,JOSM,regular
219564236,created_by,JOSM,regular
219586394,created_by,JOSM,regular
219586798,created_by,JOSM,regular
219587220,created_by,JOSM,regular
219587631,created_by,JOSM,regular
219588036,created_by,JOSM,regular
219610580,created_by,JOSM,regular
219611076,created_by,JOSM,regular
219699829,created_by,JOSM,regular
219723052,created_by,JOSM,regular
219723529,created_by,JOSM,regular
219735078,created_by,JOSM,regular
219735606,created_by,JOSM,regular
220690293,created_by,JOSM,regular
220690653,created_by,JOSM,regular
220691005,created_by,JOSM,regular
220713383,created_by,JOSM,regular
220713830,created_by,JOSM,regular
220714393,created_by,JOSM,regular
220735244,created_by,JOSM,regular
220735658,created_by,JOSM,regular
220736084,created_by,JOSM,regular
220736522,created_by,JOSM,regular
220736943,created_by,JOSM,regular
220741409,created_by,JOSM,regular
220741837,created_by,JOSM,regular
220772301,created_by,JOSM,regular
220772700,created_by,JOSM,regular
220886810,created_by,JOSM,regular
220911719,created_by,JOSM,regular
220912255,created_by,JOSM,regular
220913683,created_by,JOSM,regular
220914143,created_by,JOSM,regular
220925292,created_by,JOSM,regular
220925768,created_by,JOSM,regular
220954715,created_by,JOSM,regular
220955269,created_by,JOSM,regular
220955800,created_by,JOSM,regular
220956300,created_by,JOSM,regular
221243858,created_by,JOSM,regular
221244279,created_by,JOSM,regular
221244653,created_by,JOSM,regular
221245031,created_by,JOSM,regular
221245445,created_by,JOSM,regular
221246165,created_by,JOSM,regular
221251583,created_by,JOSM,regular
221276753,created_by,JOSM,regular
221277203,created_by,JOSM,regular
221277557,created_by,JOSM,regular
221277923,created_by,JOSM,regular
221278368,created_by,JOSM,regular
223845452,created_by,JOSM,regular
223845800,created_by,JOSM,regular
223865931,created_by,JOSM,regular
223866750,created_by,JOSM,regular
223867334,created_by,JOSM,regular
223868122,created_by,JOSM,regular
223868708,created_by,JOSM,regular
223869237,created_by,JOSM,regular
223869713,created_by,JOSM,regular
223870272,created_by,JOSM,regular
223870938,created_by,JOSM,regular
223871450,created_by,JOSM,regular
223895174,created_by,JOSM,regular
223895669,created_by,JOSM,regular
223896165,created_by,JOSM,regular
223896590,created_by,JOSM,regular
223897172,created_by,JOSM,regular
223897582,created_by,JOSM,regular
223898075,created_by,JOSM,regular
223898558,created_by,JOSM,regular
223923703,created_by,JOSM,regular
224101794,created_by,JOSM,regular
224102220,created_by,JOSM,regular
224102740,created_by,JOSM,regular
224103183,created_by,JOSM,regular
224109226,created_by,JOSM,regular
224109656,created_by,JOSM,regular
224110028,created_by,JOSM,regular
224110348,created_by,JOSM,regular
226158855,created_by,JOSM,regular
226159335,created_by,JOSM,regular
226159797,created_by,JOSM,regular
229181869,created_by,JOSM,regular
229213332,created_by,JOSM,regular
229214728,created_by,JOSM,regular
230866495,created_by,JOSM,regular
230887524,highway,traffic_signals,regular
232082907,highway,traffic_signals,regular
232105792,highway,traffic_signals,regular
233879574,highway,traffic_signals,regular
235071929,created_by,JOSM,regular
