id,user,uid,version,changeset,timestamp
22886357,JaLooNz,741163,11,19425679,2013-12-13T06:07:17Z
22886842,cboothroyd,255802,5,8272154,2011-05-28T14:13:03Z
22887331,user_5359,5359,6,5281709,2010-07-21T19:45:13Z
22887510,42429,42429,7,5646374,2010-08-31T15:56:47Z
22892545,JaLooNz,741163,12,12560373,2012-07-31T12:13:20Z
22903884,JaLooNz,741163,7,12642649,2012-08-07T08:57:16Z
22903984,kingrollo,1427293,5,17494770,2013-08-25T08:28:37Z
22904187,joeyfjj,175290,10,12847871,2012-08-24T18:04:49Z
22904221,huaiwei,564272,20,10208462,2011-12-26T17:09:05Z
22906063,JaLooNz,741163,8,12725258,2012-08-14T10:50:24Z
22906722,cboothroyd,255802,9,10450041,2012-01-20T20:03:48Z
22919806,Wrightbus,261189,6,12227212,2012-07-15T12:49:32Z
22919825,MichaelvE,1674173,11,17070664,2013-07-24T05:34:03Z
22920800,Yee,195506,5,3515807,2010-01-02T04:04:54Z
22920824,tiger_old,16558,3,2243669,2009-08-24T13:31:20Z
22922035,JaLooNz,741163,12,12482769,2012-07-25T07:51:23Z
22929084,OSMF Redaction Account,722137,4,12387041,2012-07-20T18:30:11Z
22930506,cboothroyd,255802,7,10715497,2012-02-17T21:43:34Z
22931687,Warwick Harris,1713499,6,17628321,2013-09-02T01:01:59Z
22933050,Singeo,33336,18,17033063,2013-07-21T09:11:16Z
22945156,Singeo,33336,7,16923563,2013-07-12T09:24:46Z
22945656,tjmj,547139,10,9800519,2011-11-11T22:03:32Z
22946498,Yee,195506,2,3187430,2009-11-22T15:57:41Z
22955700,JaLooNz,741163,10,12530255,2012-07-29T03:33:58Z
22964465,cboothroyd,255802,4,8738011,2011-07-16T09:53:08Z
22964804,tiger_old,16558,3,2327568,2009-08-31T16:36:28Z
22973544,ck77,112724,3,5732640,2010-09-09T14:15:58Z
22973684,tiger_old,16558,2,2327568,2009-08-31T16:36:24Z
22974665,tiger_old,16558,5,2300014,2009-08-29T12:07:56Z
22975126,cboothroyd,255802,4,11385931,2012-04-22T16:10:11Z
22981855,Erwin Bolwidt,3633,9,14575846,2013-01-08T15:20:45Z
22982178,oeoeoe,178837,3,2719368,2009-10-03T06:27:35Z
23004771,cboothroyd,255802,4,11847040,2012-06-09T17:15:35Z
23005338,owet,172683,11,18793092,2013-11-09T01:40:06Z
23027383,Warwick Harris,1713499,7,17933174,2013-09-20T03:27:51Z
23064404,tiger_old,16558,3,2327568,2009-08-31T16:36:01Z
23064713,singastreet,23295,4,14684999,2013-01-17T15:06:55Z
23065345,cboothroyd,255802,3,12638422,2012-08-06T20:20:56Z
23101413,cboothroyd,255802,10,9901966,2011-11-21T21:08:38Z
23101948,cboothroyd,255802,3,12536016,2012-07-29T14:57:03Z
23125597,banjax,158358,5,8395461,2011-06-10T10:05:18Z
23126351,JaLooNz,741163,15,12560373,2012-07-31T12:12:26Z
23132307,derandreh,212575,28,13373852,2012-10-05T14:26:48Z
23135318,huaiwei,564272,4,10129053,2011-12-16T08:13:18Z
23135743,cboothroyd,255802,5,11916140,2012-06-16T15:23:42Z
23136174,rene78,257555,5,19357463,2013-12-09T11:50:26Z
23149904,Dmitry2013,1185631,7,16600455,2013-06-18T08:35:36Z
23150169,JaLooNz,741163,2,12494849,2012-07-26T06:16:25Z
23150182,Stefan8,20032,1,255590,2008-03-02T15:09:26Z
23161590,JaLooNz,741163,2,12494849,2012-07-26T06:16:29Z
23161610,JaLooNz,741163,2,12494849,2012-07-26T06:16:31Z
23161785,JaLooNz,741163,3,12495485,2012-07-26T07:40:55Z
23161798,JaLooNz,741163,2,12494849,2012-07-26T06:16:34Z
23446141,tiger_old,16558,3,1698215,2009-07-01T08:28:37Z
23446617,rene78,257555,3,12895386,2012-08-28T17:38:18Z
23513308,Yee,195506,4,3379833,2009-12-15T14:59:35Z
23513324,bintang,217450,4,8051307,2011-05-04T18:39:54Z
23513608,Yee,195506,4,3379833,2009-12-15T14:59:33Z
23514474,tiger_old,16558,7,2244204,2009-08-24T14:15:00Z
23516062,tiger_old,16558,3,2327568,2009-08-31T16:34:38Z
23639894,Singeo,33336,6,14234691,2012-12-11T06:44:38Z
23639908,42429,42429,3,5652400,2010-09-01T09:29:03Z
23640321,cboothroyd,255802,4,11877450,2012-06-12T18:35:01Z
23810458,tiger_old,16558,4,2244204,2009-08-24T14:14:46Z
23810510,Singeo,33336,4,13734579,2012-11-03T14:13:28Z
23816877,tiger_old,16558,6,2244204,2009-08-24T14:14:36Z
23825789,Yee,195506,3,3387473,2009-12-16T15:32:37Z
23828505,Singeo,33336,3,13769217,2012-11-06T05:29:33Z
23831911,jaredc,378414,4,8764784,2011-07-19T05:08:27Z
23836966,oahiyeel,227960,6,3773335,2010-02-02T05:38:56Z
23837144,42429,42429,4,5661281,2010-09-02T11:06:53Z
23914219,JaLooNz,741163,8,12596212,2012-08-03T10:09:53Z
23924459,tiger_old,16558,2,2244204,2009-08-24T14:14:36Z
23924502,tiger_old,16558,2,2300014,2009-08-29T12:07:44Z
23924602,cboothroyd,255802,3,11915347,2012-06-16T14:13:52Z
23924659,Yee,195506,6,3387473,2009-12-16T16:34:20Z
23924745,tiger_old,16558,3,2300074,2009-08-29T12:11:01Z
23946404,tiger_old,16558,2,2244204,2009-08-24T14:14:38Z
23946455,Singeo,33336,4,13769217,2012-11-06T05:29:33Z
23960787,tiger_old,16558,2,2244204,2009-08-24T14:15:06Z
23960892,tiger_old,16558,4,2300014,2009-08-29T12:08:02Z
23960949,tiger_old,16558,3,2300014,2009-08-29T12:07:59Z
23961008,tiger_old,16558,2,2300014,2009-08-29T12:07:55Z
23961074,tiger_old,16558,5,2300014,2009-08-29T12:07:52Z
24006890,nyem,10463,5,97611,2009-02-03T15:47:15Z
24007563,Howard74,651998,3,11250899,2012-04-10T11:15:04Z
24038596,rene78,257555,9,12516240,2012-07-27T20:23:11Z
24039110,matx17,602634,2,14696465,2013-01-18T13:52:15Z
24039212,nyem,10463,1,290852,2008-04-30T03:29:21Z
24039328,nyem,10463,2,297111,2008-05-01T06:06:27Z
25098867,cboothroyd,255802,9,11311469,2012-04-15T15:09:06Z
26930416,MHolz,259295,9,4614888,2010-05-05T17:33:08Z
27464432,MHolz,259295,4,4651198,2010-05-09T17:12:58Z
28128968,tiger_old,16558,2,2327568,2009-08-31T16:35:20Z
28139764,tiger_old,16558,6,2327568,2009-08-31T16:34:20Z
28208329,tiger_old,16558,4,2327568,2009-08-31T16:33:53Z
28208753,Pel,101815,2,1282595,2009-05-22T07:35:06Z
28211371,Wan Ying,1761848,8,18265560,2013-10-09T14:10:38Z
28213138,owet,172683,6,18647862,2013-11-01T08:35:11Z
28229874,tiger_old,16558,2,2327568,2009-08-31T16:33:41Z
28245305,ck77,112724,3,8437526,2011-06-14T13:37:33Z
28247101,JaLooNz,741163,9,12715157,2012-08-13T15:05:56Z
28267764,tiger_old,16558,2,2327568,2009-08-31T16:35:01Z
28281838,JaLooNz,741163,4,12739641,2012-08-15T17:30:43Z
28294939,tiger_old,16558,2,2327568,2009-08-31T16:36:00Z
28295056,ck77,112724,3,5740893,2010-09-10T12:45:12Z
28295272,ck77,112724,3,5740893,2010-09-10T12:50:21Z
28382567,JaLooNz,741163,8,12901850,2012-08-29T08:12:48Z
28402332,Dexteruk,57712,3,9794484,2011-11-11T08:26:58Z
28580358,42429,42429,4,5634881,2010-08-30T10:41:39Z
28580621,cboothroyd,255802,4,12393744,2012-07-20T21:47:23Z
28580830,Tokage,191702,3,3088344,2009-11-11T09:19:02Z
28580971,Tokage,191702,3,3088344,2009-11-11T09:19:04Z
28581166,ck77,112724,2,5732640,2010-09-09T13:49:32Z
28581269,Dalkvist,12140,2,784397,2008-11-23T15:21:48Z
28581422,cboothroyd,255802,4,9744035,2011-11-05T07:10:42Z
29075913,kewl,317259,3,13816031,2012-11-10T00:31:05Z
29377118,jRonny,780953,5,17956914,2013-09-21T13:42:53Z
30527022,marek kleciak,338611,3,11040472,2012-03-20T12:03:45Z
30527044,JaLooNz,741163,4,12495485,2012-07-26T07:40:54Z
31988919,nyem,10463,1,777596,2009-03-10T20:27:23Z
32267457,tiger_old,16558,2,2327568,2009-08-31T16:36:23Z
32395512,Orcmors,101309,12,850827,2009-03-23T11:10:28Z
32489990,marek kleciak,338611,3,11039801,2012-03-20T11:43:55Z
32507166,JaLooNz,741163,4,12368776,2012-07-20T08:43:14Z
32542382,ck77,112724,4,5738800,2010-09-10T09:02:07Z
32560989,ChrisZzz,457232,5,11592784,2012-05-14T06:33:15Z
32562003,42429,42429,4,5607878,2010-08-27T13:48:47Z
32562018,42429,42429,4,5653011,2010-09-01T11:08:06Z
32605148,cboothroyd,255802,27,11913308,2012-06-16T10:41:33Z
32630722,user_5359,5359,5,5281709,2010-07-21T19:46:17Z
32633658,ck77,112724,2,8449214,2011-06-15T17:49:46Z
32662185,JaLooNz,741163,9,12786976,2012-08-19T18:21:58Z
32666557,cboothroyd,255802,3,9900069,2011-11-21T18:34:20Z
32666880,JaLooNz,741163,7,12710257,2012-08-13T08:06:41Z
32668729,Tokage,191702,3,3016983,2009-11-02T15:14:35Z
32726404,xclyxic,1685841,2,17306257,2013-08-11T17:18:59Z
32728476,Pel,101815,3,120681,2009-04-03T06:45:41Z
32758741,JaLooNz,741163,21,15807798,2013-04-21T08:58:12Z
32760143,cboothroyd,255802,8,12475060,2012-07-24T19:50:44Z
32774387,Pel,101815,1,120681,2009-04-03T02:12:59Z
32775003,tiger_old,16558,4,2334076,2009-09-01T08:08:56Z
32775577,JaLooNz,741163,32,12642649,2012-08-07T08:57:24Z
32776104,Pel,101815,5,1092666,2009-05-06T04:14:38Z
32776552,cboothroyd,255802,11,11829837,2012-06-07T20:54:18Z
32788304,cboothroyd,255802,7,11829837,2012-06-07T20:54:20Z
32791951,cboothroyd,255802,3,11913019,2012-06-16T10:13:17Z
32802227,cboothroyd,255802,3,11308735,2012-04-15T11:14:10Z
32818872,tiger_old,16558,3,2327568,2009-08-31T16:34:14Z
32844718,Pel,101815,4,208372,2009-04-05T13:59:21Z
32846428,cboothroyd,255802,9,11878341,2012-06-12T19:47:28Z
32848258,mapbreeze,111118,2,243351,2009-04-05T16:15:47Z
32854628,JaLooNz,741163,11,12722571,2012-08-14T05:54:17Z
32877157,Dmitry2013,1185631,10,16600553,2013-06-18T08:41:35Z
32896732,Pel,101815,13,998970,2009-04-28T05:24:53Z
32897466,Pel,101815,3,297097,2009-04-07T08:28:29Z
32921007,cboothroyd,255802,7,11846715,2012-06-09T16:40:49Z
32922127,cboothroyd,255802,7,11913308,2012-06-16T10:41:34Z
32925173,cboothroyd,255802,13,11877968,2012-06-12T19:16:39Z
32944390,cboothroyd,255802,13,12503349,2012-07-26T19:46:47Z
32982076,Pel,101815,3,391454,2009-04-10T14:55:38Z
32983734,cboothroyd,255802,18,12515887,2012-07-27T19:53:17Z
33071231,Erwin Bolwidt,3633,7,14575846,2013-01-08T15:20:47Z
33175101,huaiwei,564272,4,10043533,2011-12-05T16:57:57Z
33176112,Pel,101815,6,539142,2009-04-14T15:03:04Z
33194100,Manu1400,181135,15,16299058,2013-05-26T18:41:14Z
33205806,ChrisZzz,457232,7,11592784,2012-05-14T06:31:46Z
33261259,tiger_old,16558,6,2327568,2009-08-31T16:34:34Z
33261401,Pel,101815,3,572785,2009-04-16T04:34:00Z
33263094,JaLooNz,741163,5,12596212,2012-08-03T10:09:50Z
33264385,cboothroyd,255802,33,11951519,2012-06-19T19:11:17Z
33276804,tiger_old,16558,3,2327568,2009-08-31T16:35:23Z
33297410,cboothroyd,255802,8,11311469,2012-04-15T15:09:06Z
33297850,Pel,101815,1,597746,2009-04-17T03:33:47Z
33298217,tiger_old,16558,2,2327568,2009-08-31T16:34:03Z
33298420,Pel,101815,4,1002628,2009-04-28T12:14:04Z
33298696,Pel,101815,2,597746,2009-04-17T04:28:19Z
33301503,cboothroyd,255802,6,14846938,2013-01-30T12:31:04Z
33428404,tiger_old,16558,2,2334076,2009-09-01T08:09:15Z
33436621,JaLooNz,741163,9,12633647,2012-08-06T14:07:24Z
33449002,Pel,101815,1,899568,2009-04-22T15:40:15Z
33543730,cboothroyd,255802,5,8272344,2011-05-28T14:34:01Z
33570551,42429,42429,6,5631869,2010-08-29T23:25:48Z
33738141,JaLooNz,741163,5,12653276,2012-08-08T06:12:51Z
33769397,JaLooNz,741163,5,12653276,2012-08-08T06:38:40Z
33773880,tiger_old,16558,5,2327568,2009-08-31T16:36:17Z
33792877,Pel,101815,3,1009114,2009-04-28T21:30:56Z
33794076,Pel,101815,3,1009114,2009-04-28T21:56:12Z
33803578,jaredc,378414,3,7940056,2011-04-23T02:26:29Z
33803694,jaredc,378414,3,9122258,2011-08-25T15:23:54Z
33803719,cboothroyd,255802,2,9630489,2011-10-23T08:50:55Z
33803980,andrewpmk,1679,2,1011074,2009-04-29T05:41:41Z
33875670,Cactaur,87096,2,4978445,2010-06-13T13:04:43Z
33875684,mapbreeze,111118,1,1034529,2009-05-01T10:26:08Z
33876409,mapbreeze,111118,1,1034725,2009-05-01T10:44:38Z
33911340,mapbreeze,111118,1,1046129,2009-05-02T10:38:24Z
33911353,cboothroyd,255802,4,11453183,2012-04-29T18:58:17Z
33912775,matx17,602634,5,11776194,2012-06-02T11:36:23Z
33997669,oeoeoe,178837,2,2720184,2009-10-03T08:45:26Z
34066231,oeoeoe,178837,3,2720184,2009-10-03T09:05:21Z
34066250,oeoeoe,178837,3,2720184,2009-10-03T09:05:16Z
34123937,JaLooNz,741163,6,12615652,2012-08-05T00:26:36Z
34126998,Pel,101815,1,1094318,2009-05-06T09:27:24Z
34127387,JaLooNz,741163,3,14574657,2013-01-08T13:28:12Z
34206751,ChrisZzz,457232,6,11531365,2012-05-07T17:29:04Z
34206764,42429,42429,3,5633803,2010-08-30T08:28:53Z
34206777,mapbreeze,111118,2,1117509,2009-05-08T14:30:38Z
34206790,ck77,112724,3,5737831,2010-09-10T03:46:32Z
34240305,mapbreeze,111118,2,1127608,2009-05-09T14:32:59Z
34240318,ck77,112724,3,5737831,2010-09-10T03:31:00Z
34240331,ck77,112724,3,5737831,2010-09-10T03:36:02Z
34240344,kingrollo,1427293,5,17974706,2013-09-22T14:30:12Z
34240357,mapbreeze,111118,2,1127752,2009-05-09T14:50:52Z
34240370,cboothroyd,255802,4,11307761,2012-04-15T09:34:34Z
34318951,cboothroyd,255802,4,11915714,2012-06-16T14:49:11Z
34370825,Wari Wahab,124018,6,2335254,2009-09-01T10:29:34Z
34377107,ck77,112724,2,5738800,2010-09-10T07:44:42Z
34377121,mapbreeze,111118,1,1163019,2009-05-12T12:10:24Z
34403231,42429,42429,3,5605187,2010-08-27T07:48:55Z
34403421,Pel,101815,3,1170679,2009-05-13T03:16:47Z
34405276,Wari Wahab,124018,3,2335292,2009-09-01T10:34:11Z
34408136,tiger_old,16558,9,2300014,2009-08-29T12:07:51Z
34408360,Pel,101815,2,1172178,2009-05-13T08:21:07Z
34408712,Yee,195506,4,3133124,2009-11-16T16:11:07Z
34575106,Pel,101815,2,1205217,2009-05-16T00:11:19Z
34586613,tiger_old,16558,6,2327568,2009-08-31T16:36:27Z
34710313,matx17,602634,5,11880650,2012-06-13T01:51:16Z
34710329,kewl,317259,4,13819935,2012-11-10T12:17:36Z
34834800,tiger_old,16558,3,2035264,2009-08-04T13:29:19Z
34865902,huaiwei,564272,6,10092565,2011-12-11T18:18:45Z
34879186,Singeo,33336,5,17032727,2013-07-21T08:35:30Z
34905414,JaLooNz,741163,3,12633647,2012-08-06T14:08:16Z
34905427,tiger_old,16558,2,2327568,2009-08-31T16:35:23Z
34906854,Pel,101815,1,1283134,2009-05-22T08:48:12Z
34915776,Melaneum,27467,1,1285566,2009-05-22T13:25:13Z
34940429,singastreet,23295,4,11641905,2012-05-19T12:07:12Z
35000734,kewl,317259,8,13819935,2012-11-10T12:17:35Z
35091537,JaLooNz,741163,5,15807798,2013-04-21T08:58:16Z
35092397,JaLooNz,741163,4,15807798,2013-04-21T08:58:07Z
35096597,cboothroyd,255802,6,11951819,2012-06-19T19:35:13Z
35310232,JaLooNz,741163,7,17969273,2013-09-22T08:39:33Z
35915635,JaLooNz,741163,3,12748098,2012-08-16T09:11:49Z
36488008,ck77,112724,2,5738800,2010-09-10T08:53:21Z
36491353,ck77,112724,2,5738800,2010-09-10T08:40:08Z
36497248,Phoony,644937,3,11265765,2012-04-11T14:28:42Z
36499233,Phoony,644937,6,11266839,2012-04-11T16:10:47Z
36500149,Phoony,644937,2,11266292,2012-04-11T15:19:08Z
36505373,zomgvivian,473466,2,12106433,2012-07-04T06:54:30Z
36505861,mapbreeze,111118,3,7350477,2011-02-21T06:18:28Z
36525431,mapbreeze,111118,2,1565279,2009-06-19T15:09:21Z
36525445,mapbreeze,111118,1,1565206,2009-06-19T15:01:10Z
36525460,ck77,112724,2,5738800,2010-09-10T07:50:12Z
36537019,zomgvivian,473466,2,12158703,2012-07-09T08:16:31Z
37323638,singastreet,23295,3,14849291,2013-01-30T15:52:32Z
37334562,scwally,142158,2,1758600,2009-07-07T03:40:01Z
37355748,mapbreeze,111118,2,7350999,2011-02-21T08:10:34Z
37365391,scwally,142158,1,1759671,2009-07-07T07:34:49Z
37394699,JaLooNz,741163,14,14439396,2012-12-28T15:58:32Z
37396746,scwally,142158,1,1768056,2009-07-08T04:57:06Z
37403956,scwally,142158,1,1768888,2009-07-08T07:09:29Z
37408874,kingrollo,1427293,2,17034674,2013-07-21T11:34:44Z
37434743,scwally,142158,1,1777272,2009-07-09T01:14:50Z
37522115,Singeo,33336,4,16844330,2013-07-06T05:19:34Z
37523727,ck77,112724,5,18577836,2013-10-28T03:01:36Z
37527274,scwally,142158,2,1789236,2009-07-10T14:48:10Z
37552593,scwally,142158,1,1793779,2009-07-11T04:12:33Z
37552606,cboothroyd,255802,4,11281112,2012-04-12T20:40:44Z
